"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Baseline Date Range","Baseline Mean Travel Time (Seconds)","Baseline Range - Lower Bound Travel Time (Seconds)","Baseline Range - Upper Bound Travel Time (Seconds)","Comparison Date Range","Comparison Mean Travel Time (Seconds)","Comparison Range - Lower Bound Travel Time (Seconds)","Comparison Range - Upper Bound Travel Time (Seconds)"
"1277","300 Hayes Street, Civic Center, San Francisco","9","500 Hyde Street, Tenderloin, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",260,168,400,"3/1/2020 - 3/8/2020, Every day, Daily Average",342,222,525
"1277","300 Hayes Street, Civic Center, San Francisco","20","900 Sutter Street, Lower Nob Hill, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",221,147,331,"3/1/2020 - 3/8/2020, Every day, Daily Average",315,194,509
"1277","300 Hayes Street, Civic Center, San Francisco","21","3400 Pierce Street, Marina District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",444,380,518,"3/1/2020 - 3/8/2020, Every day, Daily Average",623,458,845
"1277","300 Hayes Street, Civic Center, San Francisco","44","1700 Egbert Avenue, Bayview, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",576,460,720,"3/1/2020 - 3/8/2020, Every day, Daily Average",861,596,1243
"1277","300 Hayes Street, Civic Center, San Francisco","46","500 Chester Street, West Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",820,654,1027,"3/1/2020 - 3/8/2020, Every day, Daily Average",995,729,1356
"1277","300 Hayes Street, Civic Center, San Francisco","57","1700 Bayo Vista Avenue, San Pablo","3/22/2020 - 3/29/2020, Every day, Daily Average",1155,615,2167,"3/1/2020 - 3/8/2020, Every day, Daily Average",1635,1177,2270
"1277","300 Hayes Street, Civic Center, San Francisco","58","5600 Genoa Street, Santa Fe, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",861,787,941,"3/1/2020 - 3/8/2020, Every day, Daily Average",1433,982,2089
"1277","300 Hayes Street, Civic Center, San Francisco","78","1400 Thomas Avenue, Bayview, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",761,561,1030,"3/1/2020 - 3/8/2020, Every day, Daily Average",1016,716,1441
"1277","300 Hayes Street, Civic Center, San Francisco","79","1500 California Street, Polk Gulch, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",267,176,402,"3/1/2020 - 3/8/2020, Every day, Daily Average",360,226,571
"1277","300 Hayes Street, Civic Center, San Francisco","80","0 Farren Street, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",276,202,375,"3/1/2020 - 3/8/2020, Every day, Daily Average",353,247,503
"1277","300 Hayes Street, Civic Center, San Francisco","81","0 Berkeley Way, Diamond Heights, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",715,631,809,"3/1/2020 - 3/8/2020, Every day, Daily Average",961,762,1211
"1277","300 Hayes Street, Civic Center, San Francisco","82","2700 25th Street, Mission District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",290,222,378,"3/1/2020 - 3/8/2020, Every day, Daily Average",418,284,614
"1277","300 Hayes Street, Civic Center, San Francisco","87","2200 Wyandotte Street, Mountain View","3/22/2020 - 3/29/2020, Every day, Daily Average",1960,1805,2127,"3/1/2020 - 3/8/2020, Every day, Daily Average",2438,1927,3083
"1277","300 Hayes Street, Civic Center, San Francisco","90","300 Heathcliff Drive, Westview, Pacifica","3/22/2020 - 3/29/2020, Every day, Daily Average",933,810,1073,"3/1/2020 - 3/8/2020, Every day, Daily Average",1287,982,1686
"1277","300 Hayes Street, Civic Center, San Francisco","91","700 Industrial Road, San Carlos","3/22/2020 - 3/29/2020, Every day, Daily Average",1439,1268,1632,"3/1/2020 - 3/8/2020, Every day, Daily Average",1797,1398,2309
"1277","300 Hayes Street, Civic Center, San Francisco","96","2200 Bonar Street, Poets Corner, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",1004,871,1156,"3/1/2020 - 3/8/2020, Every day, Daily Average",1331,1027,1723
"1277","300 Hayes Street, Civic Center, San Francisco","98","500 10th Street, Downtown Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",862,701,1058,"3/1/2020 - 3/8/2020, Every day, Daily Average",1082,782,1495
"1277","300 Hayes Street, Civic Center, San Francisco","102","500 Mount Street, East Richmond, Richmond","3/22/2020 - 3/29/2020, Every day, Daily Average",1084,629,1867,"3/1/2020 - 3/8/2020, Every day, Daily Average",1545,1098,2172
"1277","300 Hayes Street, Civic Center, San Francisco","113","1200 Hayes Street, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",132,92,188,"3/1/2020 - 3/8/2020, Every day, Daily Average",194,124,302
"1277","300 Hayes Street, Civic Center, San Francisco","117","100 Edgemar Street, Crocker, Daly City","3/22/2020 - 3/29/2020, Every day, Daily Average",865,722,1035,"3/1/2020 - 3/8/2020, Every day, Daily Average",1177,917,1510
"1277","300 Hayes Street, Civic Center, San Francisco","151","500 20th Street, Downtown Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",954,842,1080,"3/1/2020 - 3/8/2020, Every day, Daily Average",1190,934,1515
"1277","300 Hayes Street, Civic Center, San Francisco","155","400 North Mary Avenue, Sunnyvale West, Sunnyvale","3/22/2020 - 3/29/2020, Every day, Daily Average",2223,2033,2429,"3/1/2020 - 3/8/2020, Every day, Daily Average",2844,2209,3660
"1277","300 Hayes Street, Civic Center, San Francisco","165","2200 Franklin Street, Pacific Heights, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",201,153,262,"3/1/2020 - 3/8/2020, Every day, Daily Average",293,198,433
"1277","300 Hayes Street, Civic Center, San Francisco","181","3400 Richmond Boulevard, Oakland Ave - Harrison St, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",824,703,964,"3/1/2020 - 3/8/2020, Every day, Daily Average",1128,815,1560
"1277","300 Hayes Street, Civic Center, San Francisco","186","1800 Vicente Street, Sunset District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",1058,851,1315,"3/1/2020 - 3/8/2020, Every day, Daily Average",1276,992,1641
"1277","300 Hayes Street, Civic Center, San Francisco","206","1300 15th Street, Mission District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",191,126,287,"3/1/2020 - 3/8/2020, Every day, Daily Average",283,179,446
"1277","300 Hayes Street, Civic Center, San Francisco","207","1100 Guerrero Street, Mission District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",484,367,637,"3/1/2020 - 3/8/2020, Every day, Daily Average",633,481,832
"1277","300 Hayes Street, Civic Center, San Francisco","208","600 Alabama Street, Mission District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",359,266,484,"3/1/2020 - 3/8/2020, Every day, Daily Average",467,341,638
"1277","300 Hayes Street, Civic Center, San Francisco","209","300 Wilde Avenue, Visitacion Valley, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",453,350,585,"3/1/2020 - 3/8/2020, Every day, Daily Average",585,419,815
"1277","300 Hayes Street, Civic Center, San Francisco","210","100 Ramsell Street, Oceanview, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",633,500,801,"3/1/2020 - 3/8/2020, Every day, Daily Average",868,621,1213
"1277","300 Hayes Street, Civic Center, San Francisco","211","200 16th Avenue, Richmond District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",710,479,1051,"3/1/2020 - 3/8/2020, Every day, Daily Average",885,669,1170
"1277","300 Hayes Street, Civic Center, San Francisco","212","500 Washington Street, Financial District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",552,427,712,"3/1/2020 - 3/8/2020, Every day, Daily Average",772,542,1098
"1277","300 Hayes Street, Civic Center, San Francisco","232","1000 Beech Street, East Palo Alto","3/22/2020 - 3/29/2020, Every day, Daily Average",1852,1659,2067,"3/1/2020 - 3/8/2020, Every day, Daily Average",2218,1761,2793
"1277","300 Hayes Street, Civic Center, San Francisco","234","100 Domestic Terminals Departures Level, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",921,767,1104,"3/1/2020 - 3/8/2020, Every day, Daily Average",1093,877,1361
"1277","300 Hayes Street, Civic Center, San Francisco","264","300 Irwin Street, San Rafael","3/22/2020 - 3/29/2020, Every day, Daily Average",1351,1191,1532,"3/1/2020 - 3/8/2020, Every day, Daily Average",1655,1355,2021
"1277","300 Hayes Street, Civic Center, San Francisco","285","1600 Maritime Street, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",653,520,819,"3/1/2020 - 3/8/2020, Every day, Daily Average",897,631,1273
"1277","300 Hayes Street, Civic Center, San Francisco","286","1000 10th Street, West Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",820,681,987,"3/1/2020 - 3/8/2020, Every day, Daily Average",1015,745,1381
"1277","300 Hayes Street, Civic Center, San Francisco","288","14700 Wiley Street, Washington Manor - Bonaire, San Leandro","3/22/2020 - 3/29/2020, Every day, Daily Average",1837,1239,2723,"3/1/2020 - 3/8/2020, Every day, Daily Average",1642,1290,2089
"1277","300 Hayes Street, Civic Center, San Francisco","299","Chinatown / North Beach Campus, Russian Hill, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",439,345,557,"3/1/2020 - 3/8/2020, Every day, Daily Average",629,464,852
"1277","300 Hayes Street, Civic Center, San Francisco","302","0 Bass Court, Bayview, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",717,540,951,"3/1/2020 - 3/8/2020, Every day, Daily Average",1014,719,1428
"1277","300 Hayes Street, Civic Center, San Francisco","303","Bay Trail, Sunnyvale","3/22/2020 - 3/29/2020, Every day, Daily Average",2344,1886,2913,"3/1/2020 - 3/8/2020, Every day, Daily Average",2718,2123,3478
"1277","300 Hayes Street, Civic Center, San Francisco","304","500 Zook Road, Mountain View","3/22/2020 - 3/29/2020, Every day, Daily Average",2158,1923,2420,"3/1/2020 - 3/8/2020, Every day, Daily Average",2591,2070,3242
"1277","300 Hayes Street, Civic Center, San Francisco","306","200 Silverlake Drive, Lakewood, Sunnyvale","3/22/2020 - 3/29/2020, Every day, Daily Average",2283,2069,2518,"3/1/2020 - 3/8/2020, Every day, Daily Average",2749,2196,3440
"1277","300 Hayes Street, Civic Center, San Francisco","311","200 Northgate Avenue, Westlake, Daly City","3/22/2020 - 3/29/2020, Every day, Daily Average",638,514,791,"3/1/2020 - 3/8/2020, Every day, Daily Average",882,631,1232
"1277","300 Hayes Street, Civic Center, San Francisco","314","200 Alta Mesa Drive, Serra Highlands, South San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",938,767,1146,"3/1/2020 - 3/8/2020, Every day, Daily Average",1182,859,1625
"1277","300 Hayes Street, Civic Center, San Francisco","315","900 Veterans Boulevard, Redwood City","3/22/2020 - 3/29/2020, Every day, Daily Average",1498,1384,1621,"3/1/2020 - 3/8/2020, Every day, Daily Average",1901,1484,2433
"1277","300 Hayes Street, Civic Center, San Francisco","321","Nimitz Freeway, Downtown Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",920,740,1143,"3/1/2020 - 3/8/2020, Every day, Daily Average",1138,818,1581
"1277","300 Hayes Street, Civic Center, San Francisco","322","300 Warwick Avenue, Adams Point, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",852,727,997,"3/1/2020 - 3/8/2020, Every day, Daily Average",1134,824,1559
"1277","300 Hayes Street, Civic Center, San Francisco","323","900 Embarcadero West, West Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",825,725,937,"3/1/2020 - 3/8/2020, Every day, Daily Average",1031,776,1369
"1277","300 Hayes Street, Civic Center, San Francisco","328","5000 Franklin Drive, Pleasanton","3/22/2020 - 3/29/2020, Every day, Daily Average",2122,1961,2295,"3/1/2020 - 3/8/2020, Every day, Daily Average",2454,2024,2974
"1277","300 Hayes Street, Civic Center, San Francisco","338","100 Hinman Road, Redwood City","3/22/2020 - 3/29/2020, Every day, Daily Average",1551,1374,1749,"3/1/2020 - 3/8/2020, Every day, Daily Average",1927,1508,2462
"1277","300 Hayes Street, Civic Center, San Francisco","345","400 Moffett Boulevard, Mountain View","3/22/2020 - 3/29/2020, Every day, Daily Average",2044,1885,2216,"3/1/2020 - 3/8/2020, Every day, Daily Average",2504,2016,3109
"1277","300 Hayes Street, Civic Center, San Francisco","347","900 Sycamore Drive, Midtown, Palo Alto","3/22/2020 - 3/29/2020, Every day, Daily Average",1927,1780,2085,"3/1/2020 - 3/8/2020, Every day, Daily Average",2340,1882,2908
"1277","300 Hayes Street, Civic Center, San Francisco","385","0 Valley View Road, Orinda","3/22/2020 - 3/29/2020, Every day, Daily Average",1174,1069,1288,"3/1/2020 - 3/8/2020, Every day, Daily Average",1549,1184,2026
"1277","300 Hayes Street, Civic Center, San Francisco","387","2100 Manchester Road, San Leandro","3/22/2020 - 3/29/2020, Every day, Daily Average",1567,1461,1680,"3/1/2020 - 3/8/2020, Every day, Daily Average",1838,1476,2287
"1277","300 Hayes Street, Civic Center, San Francisco","388","1700 Doolittle Drive, Davis Tract, San Leandro","3/22/2020 - 3/29/2020, Every day, Daily Average",1563,1127,2167,"3/1/2020 - 3/8/2020, Every day, Daily Average",1569,1210,2034
"1277","300 Hayes Street, Civic Center, San Francisco","389","1000 Burkhart Avenue, Washington Manor - Bonaire, San Leandro","3/22/2020 - 3/29/2020, Every day, Daily Average",1919,1329,2770,"3/1/2020 - 3/8/2020, Every day, Daily Average",1731,1371,2185
"1277","300 Hayes Street, Civic Center, San Francisco","394","3600 Page Street, Friendly Acres, Redwood City","3/22/2020 - 3/29/2020, Every day, Daily Average",1620,1516,1730,"3/1/2020 - 3/8/2020, Every day, Daily Average",1972,1595,2436
"1277","300 Hayes Street, Civic Center, San Francisco","408","1800 Hillside Boulevard, Colma","3/22/2020 - 3/29/2020, Every day, Daily Average",898,797,1010,"3/1/2020 - 3/8/2020, Every day, Daily Average",1278,919,1775
"1277","300 Hayes Street, Civic Center, San Francisco","409","200 Nelson Avenue, Edgemar - Pacific Manor, Pacifica","3/22/2020 - 3/29/2020, Every day, Daily Average",821,767,878,"3/1/2020 - 3/8/2020, Every day, Daily Average",1149,796,1657
"1277","300 Hayes Street, Civic Center, San Francisco","417","4400 Bell Avenue, Eastshore, Richmond","3/22/2020 - 3/29/2020, Every day, Daily Average",1072,881,1303,"3/1/2020 - 3/8/2020, Every day, Daily Average",1581,1114,2243
"1277","300 Hayes Street, Civic Center, San Francisco","423","200 Locust Avenue, San Rafael","3/22/2020 - 3/29/2020, Every day, Daily Average",1410,1287,1543,"3/1/2020 - 3/8/2020, Every day, Daily Average",1737,1426,2115
"1277","300 Hayes Street, Civic Center, San Francisco","433","600 Vanessa Drive, Central San Mateo, San Mateo","3/22/2020 - 3/29/2020, Every day, Daily Average",1209,1081,1350,"3/1/2020 - 3/8/2020, Every day, Daily Average",1589,1205,2094
"1277","300 Hayes Street, Civic Center, San Francisco","434","1300 Franklin Street, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",138,99,191,"3/1/2020 - 3/8/2020, Every day, Daily Average",206,128,330
"1277","300 Hayes Street, Civic Center, San Francisco","443","New Corona Heights Trail, The Castro, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",391,273,559,"3/1/2020 - 3/8/2020, Every day, Daily Average",516,375,709
"1277","300 Hayes Street, Civic Center, San Francisco","445","900 Divisadero Street, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",223,156,317,"3/1/2020 - 3/8/2020, Every day, Daily Average",295,197,440
"1277","300 Hayes Street, Civic Center, San Francisco","447","2600 Alvarado Street, Floresta Gardens - Bradrick, San Leandro","3/22/2020 - 3/29/2020, Every day, Daily Average",1682,1192,2372,"3/1/2020 - 3/8/2020, Every day, Daily Average",1769,1335,2343
"1277","300 Hayes Street, Civic Center, San Francisco","452","1200 Green Street, Russian Hill, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",304,224,411,"3/1/2020 - 3/8/2020, Every day, Daily Average",455,310,667
"1277","300 Hayes Street, Civic Center, San Francisco","457","3100 West Street, Hoover - Foster, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",764,636,917,"3/1/2020 - 3/8/2020, Every day, Daily Average",1030,748,1416
"1277","300 Hayes Street, Civic Center, San Francisco","458","900 Webster Street, Downtown Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",894,716,1115,"3/1/2020 - 3/8/2020, Every day, Daily Average",1105,799,1528
"1277","300 Hayes Street, Civic Center, San Francisco","463","2000 Bancroft Way, Downtown Berkeley, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",1172,1054,1302,"3/1/2020 - 3/8/2020, Every day, Daily Average",1585,1199,2094
"1277","300 Hayes Street, Civic Center, San Francisco","464","1600 Fairview Street, South Berkeley, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",1021,879,1184,"3/1/2020 - 3/8/2020, Every day, Daily Average",1248,926,1681
"1277","300 Hayes Street, Civic Center, San Francisco","467","16300 Helo Drive, San Leandro","3/22/2020 - 3/29/2020, Every day, Daily Average",1502,1390,1622,"3/1/2020 - 3/8/2020, Every day, Daily Average",1772,1394,2251
"1277","300 Hayes Street, Civic Center, San Francisco","475","1500 Lacassie Avenue, Walnut Creek","3/22/2020 - 3/29/2020, Every day, Daily Average",1617,1446,1807,"3/1/2020 - 3/8/2020, Every day, Daily Average",1952,1525,2498
"1277","300 Hayes Street, Civic Center, San Francisco","477","0 Tara Road, Northwood - Tara, Orinda","3/22/2020 - 3/29/2020, Every day, Daily Average",1182,1007,1386,"3/1/2020 - 3/8/2020, Every day, Daily Average",1487,1144,1932
"1277","300 Hayes Street, Civic Center, San Francisco","478","100 Eagle Court, Birds, Hercules","3/22/2020 - 3/29/2020, Every day, Daily Average",1363,665,2791,"3/1/2020 - 3/8/2020, Every day, Daily Average",1968,1411,2743
"1277","300 Hayes Street, Civic Center, San Francisco","488","0 Oak Gate Place, Pleasant Hill","3/22/2020 - 3/29/2020, Every day, Daily Average",1625,1517,1740,"3/1/2020 - 3/8/2020, Every day, Daily Average",2053,1629,2586
"1277","300 Hayes Street, Civic Center, San Francisco","495","4200 Shelter Creek Lane, San Bruno","3/22/2020 - 3/29/2020, Every day, Daily Average",883,806,967,"3/1/2020 - 3/8/2020, Every day, Daily Average",1204,947,1530
"1277","300 Hayes Street, Civic Center, San Francisco","528","600 Lexington Way, Oak Grove Manor, Burlingame","3/22/2020 - 3/29/2020, Every day, Daily Average",1050,882,1249,"3/1/2020 - 3/8/2020, Every day, Daily Average",1267,998,1607
"1277","300 Hayes Street, Civic Center, San Francisco","532","200 Beach Street, North Beach, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",565,423,752,"3/1/2020 - 3/8/2020, Every day, Daily Average",742,557,987
"1277","300 Hayes Street, Civic Center, San Francisco","533","1400 Grant Avenue, North Beach, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",506,397,644,"3/1/2020 - 3/8/2020, Every day, Daily Average",693,492,975
"1277","300 Hayes Street, Civic Center, San Francisco","534","200 Walnut Street, Presidio Heights, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",467,277,785,"3/1/2020 - 3/8/2020, Every day, Daily Average",622,466,828
"1277","300 Hayes Street, Civic Center, San Francisco","535","0 Rossi Avenue, Richmond District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",376,306,461,"3/1/2020 - 3/8/2020, Every day, Daily Average",505,373,683
"1277","300 Hayes Street, Civic Center, San Francisco","536","800 Franklin Street, Fillmore District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",78,50,119,"3/1/2020 - 3/8/2020, Every day, Daily Average",110,62,192
"1277","300 Hayes Street, Civic Center, San Francisco","537","500 Webster Street, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",66,39,111,"3/1/2020 - 3/8/2020, Every day, Daily Average",95,49,182
"1277","300 Hayes Street, Civic Center, San Francisco","541","200 San Fernando Way, St. Francis, Daly City","3/22/2020 - 3/29/2020, Every day, Daily Average",726,592,889,"3/1/2020 - 3/8/2020, Every day, Daily Average",961,707,1305
"1277","300 Hayes Street, Civic Center, San Francisco","542","2200 Kenry Way, Westborough, South San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",1066,745,1525,"3/1/2020 - 3/8/2020, Every day, Daily Average",1190,905,1563
"1277","300 Hayes Street, Civic Center, San Francisco","554","200 2nd Street, Sunnyvale","3/22/2020 - 3/29/2020, Every day, Daily Average",2234,2030,2457,"3/1/2020 - 3/8/2020, Every day, Daily Average",2776,2195,3510
"1277","300 Hayes Street, Civic Center, San Francisco","555","500 Aldo Avenue, Santa Clara","3/22/2020 - 3/29/2020, Every day, Daily Average",2358,2181,2549,"3/1/2020 - 3/8/2020, Every day, Daily Average",2771,2321,3308
"1277","300 Hayes Street, Civic Center, San Francisco","591","2500 10th Avenue, Bella Vista, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",943,807,1101,"3/1/2020 - 3/8/2020, Every day, Daily Average",1188,891,1582
"1277","300 Hayes Street, Civic Center, San Francisco","595","200 Ghormley Avenue, Brookfield Village, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1407,1052,1880,"3/1/2020 - 3/8/2020, Every day, Daily Average",1506,1145,1980
"1277","300 Hayes Street, Civic Center, San Francisco","597","1600 Eighth Street, Northwest Berkeley, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",1031,850,1249,"3/1/2020 - 3/8/2020, Every day, Daily Average",1234,989,1538
"1277","300 Hayes Street, Civic Center, San Francisco","602","22000 Cameron Street, Castro Valley","3/22/2020 - 3/29/2020, Every day, Daily Average",1663,1535,1801,"3/1/2020 - 3/8/2020, Every day, Daily Average",1978,1564,2501
"1277","300 Hayes Street, Civic Center, San Francisco","608","700 11th Street, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",869,697,1082,"3/1/2020 - 3/8/2020, Every day, Daily Average",1074,774,1488
"1277","300 Hayes Street, Civic Center, San Francisco","609","700 19th Street, West Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",920,746,1133,"3/1/2020 - 3/8/2020, Every day, Daily Average",1174,857,1608
"1277","300 Hayes Street, Civic Center, San Francisco","610","1600 Webster Street, Downtown, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1045,902,1210,"3/1/2020 - 3/8/2020, Every day, Daily Average",1228,984,1531
"1277","300 Hayes Street, Civic Center, San Francisco","624","3300 Beechwood Drive, Stanley, Lafayette","3/22/2020 - 3/29/2020, Every day, Daily Average",1363,1265,1468,"3/1/2020 - 3/8/2020, Every day, Daily Average",1758,1361,2270
"1277","300 Hayes Street, Civic Center, San Francisco","627","800 Marin Road, El Sobrante","3/22/2020 - 3/29/2020, Every day, Daily Average",1296,1130,1486,"3/1/2020 - 3/8/2020, Every day, Daily Average",1886,1316,2702
"1277","300 Hayes Street, Civic Center, San Francisco","628","2300 Santa Clara Street, Richmond Annex, Richmond","3/22/2020 - 3/29/2020, Every day, Daily Average",973,571,1656,"3/1/2020 - 3/8/2020, Every day, Daily Average",1357,968,1901
"1277","300 Hayes Street, Civic Center, San Francisco","629","100 Guerrero Street, Mission Dolores, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",125,71,218,"3/1/2020 - 3/8/2020, Every day, Daily Average",197,114,338
"1277","300 Hayes Street, Civic Center, San Francisco","641","1400 Jackson Street, Nob Hill, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",291,214,394,"3/1/2020 - 3/8/2020, Every day, Daily Average",424,285,630
"1277","300 Hayes Street, Civic Center, San Francisco","642","600 Grant Avenue, Chinatown, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",439,360,534,"3/1/2020 - 3/8/2020, Every day, Daily Average",720,502,1031
"1277","300 Hayes Street, Civic Center, San Francisco","643","200 Myrtle Street, Tenderloin, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",196,121,316,"3/1/2020 - 3/8/2020, Every day, Daily Average",271,160,457
"1277","300 Hayes Street, Civic Center, San Francisco","644","200 Jones Street, Tenderloin, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",315,228,433,"3/1/2020 - 3/8/2020, Every day, Daily Average",433,275,680
"1277","300 Hayes Street, Civic Center, San Francisco","645","1400 Chestnut Street, Marina District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",292,235,362,"3/1/2020 - 3/8/2020, Every day, Daily Average",410,291,575
"1277","300 Hayes Street, Civic Center, San Francisco","646","500 Clayton Street, Haight-Ashbury, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",297,219,401,"3/1/2020 - 3/8/2020, Every day, Daily Average",406,283,580
